heart_rate,blood_oxygen,temperature,label
0.37454011884736244,0.3936355202774422,0.3736408184666987,1
0.9507143064099162,0.4734356593750216,0.33291209623140305,1
0.7319939418114051,0.8545473932021802,0.1761539125028603,1
0.5986584841970366,0.34000438605989225,0.6072666701014882,1
0.15601864044243655,0.8696496848121711,0.476624160508629,0
0.15599452033620262,0.08813443097669164,0.8657009923240039,1
0.058083612168199454,0.7767984372086308,0.03210958048205835,1
0.8661761457749352,0.8475476330547366,0.6438679275551263,0
0.6011150117432088,0.18181765283733853,0.7629488785115611,1
0.7080725777960455,0.4303465323722004,0.7594865691883071,1
0.02058449429580244,0.1654997746636558,0.8860739670955252,1
0.9699098521619944,0.7066041289942178,0.7290337428294938,1
0.8324426408004216,0.5353477680616568,0.927810061647696,1
0.21233911067827613,0.6353233467083209,0.3326565998208913,1
0.18182496720710062,0.196486966956211,0.5032094167515431,1
0.18340450985343382,0.2117458620524194,0.014079663282890701,1
0.3042422429595377,0.041497325509906584,0.006957587303291144,1
0.5247564316322378,0.3220675351957297,0.2401266204515201,1
0.43194501864211576,0.5597446613336747,0.10080719713908529,1
0.29122914019804197,0.8579349139973289,0.2602113679357535,1
0.6118528947223795,0.6669274474586805,0.17704329452839737,1
0.1394938606520418,0.4353963233997514,0.028520024838648246,1
0.29214464853521815,0.9531201143941378,0.9093041464060494,1
0.3663618432936917,0.7192452005758317,0.008223131388891584,1
0.45606998421703593,0.9301652028625502,0.7360821443370852,1
0.7851759613930137,0.5275879732721658,0.1521478869195166,1
0.19967378215835974,0.25890427479313965,0.9122296219996002,1
0.5142344384136116,0.052826686364721806,0.8927959395898859,1
0.5924145688620426,0.7260848514838505,0.6539011463692574,0
0.04645041271999772,0.12130299800553436,0.672234149800605,1
0.6075448519014385,0.30277512827196723,0.005339141969688654,1
0.17052412368729156,0.5324709078838974,0.9848715661136018,1
0.06505159298527952,0.5644165877797477,0.8778326035758146,1
0.9488855372533332,0.6005831969871361,0.8951062257300924,1
0.9656320330745594,0.1662553303497006,0.6592445370508719,1
0.8083973481164612,0.37973740482164875,0.34478692865453664,1
0.30461376917337074,0.6171942271169665,0.8936486490904809,1
